date,premise_code,item_code,price,year,month,previous_price,next_price,Price_Increase,price_change,price_change_pct,item,state,district,premise_type
2025-03-10,16169,1110,12.0,2025,3,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,W.P. Kuala Lumpur,Seputeh,Pasar Mini
2025-03-10,18120,1131,2.8,2025,3,2.6,3.0,1,0.19999999999999973,7.692307692307682,UBI KENTANG IMPORT (CHINA),Perak,Kuala Kangsar,Pasar Mini
2025-03-10,20815,1110,10.89,2025,3,10.89,10.89,0,0.0,0.0,TELUR AYAM GRED B,Perlis,Kangar,Pasar Mini
2025-03-10,3053,1110,14.1,2025,3,14.1,14.1,0,0.0,0.0,TELUR AYAM GRED B,Sabah,Lahad Datu,Kedai Runcit
2025-03-11,21035,114,8.99,2025,3,8.99,8.99,0,0.0,0.0,TOMATO,Johor,Pontian,Pasar Raya / Supermarket
2025-03-11,15820,1476,10.0,2025,3,10.0,10.0,0,0.0,0.0,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Sabah,Lahad Datu,Hypermarket
2025-03-14,857,1110,13.8,2025,3,13.8,13.8,0,0.0,0.0,TELUR AYAM GRED B,Sabah,Tambunan,Pasar Raya / Supermarket
2025-03-15,21035,129,2.49,2025,3,2.99,2.49,0,-0.5,-16.722408026755854,BAWANG BESAR KUNING/HOLLAND,Johor,Pontian,Pasar Raya / Supermarket
2025-03-15,1863,114,12.0,2025,3,12.0,12.0,0,0.0,0.0,TOMATO,Sarawak,Saratok,Pasar Basah 
2025-03-16,16522,129,4.9,2025,3,4.9,4.9,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sarawak,Tatau,Pasar Raya / Supermarket
2025-03-17,21235,1476,15.0,2025,3,17.0,15.0,0,-2.0,-11.76470588235294,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),W.P. Kuala Lumpur,Segambut,Pasar Mini
2025-03-17,3270,1131,4.5,2025,3,4.5,3.5,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Sabah,Tuaran,Pasar Mini
2025-03-17,15952,129,2.99,2025,3,2.99,2.99,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Kedah,Kota Setar,Pasar Raya / Supermarket
2025-03-17,14755,129,5.0,2025,3,5.0,4.5,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,W.P. Kuala Lumpur,Kepong,Pasar Mini
2025-03-17,8571,1131,3.5,2025,3,3.5,3.5,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Kelantan,Pasir Puteh,Pasar Mini
2025-03-17,3274,1559,9.3,2025,3,9.3,8.3,0,0.0,0.0,KANGKUNG,Sabah,Tuaran,Pasar Mini
2025-03-17,20849,114,6.59,2025,3,8.69,6.49,0,-2.0999999999999996,-24.165707710011507,TOMATO,Terengganu,Kuala Terengganu,Pasar Mini
2025-03-17,18668,1559,6.0,2025,3,6.0,7.0,1,0.0,0.0,KANGKUNG,Johor,Johor Bahru,Kedai Runcit
2025-03-17,17297,129,6.0,2025,3,6.0,5.0,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sabah,Ranau,Pasar Mini
2025-03-17,1390,1131,4.0,2025,3,4.0,3.5,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Perak,Kerian,Pasar Mini
2025-03-17,16078,1110,13.5,2025,3,13.5,13.5,0,0.0,0.0,TELUR AYAM GRED B,Sarawak,Kapit,Kedai Runcit
2025-03-17,1295,129,9.0,2025,3,9.0,9.0,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sarawak,Kapit,Kedai Runcit
2025-03-17,18074,129,6.5,2025,3,6.5,6.5,0,0.0,0.0,BAWANG BESAR KUNING/HOLLAND,Sarawak,Balingian,Kedai Runcit
2025-03-17,20884,114,12.9,2025,3,12.9,7.0,0,0.0,0.0,TOMATO,Sarawak,Kuching,Pasar Mini
2025-03-19,18154,1476,18.0,2025,3,17.0,16.0,0,1.0,5.88235294117647,IKAN KEMBUNG (ANTARA 8 HINGGA 12 EKOR SEKILOGRAM),Johor,Kota Tinggi,Borong
2025-03-19,3208,1131,3.9,2025,3,3.9,3.9,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Kedah,Kulim,Pasar Raya / Supermarket
2025-03-20,20785,1,9.49,2025,3,9.49,9.49,0,0.0,0.0,AYAM BERSIH - STANDARD,W.P. Putrajaya,Cyberjaya,Pasar Raya / Supermarket
2025-03-22,17831,1110,13.8,2025,3,13.8,13.8,0,0.0,0.0,TELUR AYAM GRED B,Sabah,Tambunan,Pasar Raya / Supermarket
2025-03-23,11728,1131,5.0,2025,3,5.0,3.5,0,0.0,0.0,UBI KENTANG IMPORT (CHINA),Negeri Sembilan,Seremban,Pasar Basah 
2025-03-23,18161,1110,12.0,2025,3,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,W.P. Kuala Lumpur,Cheras,Hypermarket
2025-03-24,20969,114,6.0,2025,3,7.0,6.5,1,-1.0,-14.285714285714285,TOMATO,Perak,"Larut, Matang & Selama",Pasar Mini
2025-03-24,1763,1110,12.0,2025,3,12.0,12.0,0,0.0,0.0,TELUR AYAM GRED B,Perak,"Larut, Matang & Selama",Pasar Mini
